Locality,Total Entities,Hospitals,Clinics,Labs,Pharmacies,Doctors,Trust Status
Sarafa Road,1,1,0,0,0,0,VERIFIED
5WQQ+P55 Dr Firdous Ansari clinic,1,0,1,0,0,0,VERIFIED
Gangasagar Road,1,0,1,0,0,0,VERIFIED
WRIGHT TOWN,1,1,0,0,0,0,VERIFIED
36 kingsway ashok marg sadar bazar,1,0,1,0,0,0,VERIFIED
Shitla Mai Ward,1,0,1,0,0,0,VERIFIED
Shitalamai Ward West,1,1,0,0,0,0,VERIFIED
Siddha Baba Ward,1,0,1,0,0,0,VERIFIED
Rampur Crossing Grenade Chowk,1,0,1,0,0,0,VERIFIED
Bhandari Hospital Road,1,0,1,0,0,0,VERIFIED
GRC Chowk,1,0,1,0,0,0,VERIFIED
Pushpa Kunj Colony,1,0,1,0,0,0,VERIFIED
Howbag Railway Colony,1,1,0,0,0,0,VERIFIED
Gurdwara,1,0,1,0,0,0,VERIFIED
Main Road Sanjeevani Nagar,1,1,0,0,0,0,VERIFIED
Main Road Sanjivni Nagar,1,1,0,0,0,0,VERIFIED
Shahi Naka Road In front of Shanti Masale,1,0,1,0,0,0,VERIFIED
Junior HIG 20. Near Dhanwantri Nagar Chowk Pulse medical care Dhanvantari Nagar,1,0,1,0,0,0,VERIFIED
Panchsheel colony,1,1,0,0,0,0,VERIFIED
Yadav Colony Elza School Road,1,0,1,0,0,0,VERIFIED
main road sanjivni nagar,1,0,1,0,0,0,VERIFIED
